#SampleID	pH	Annual Season Precipitation	Annual Season Tempature	Carbon to Nitrogen Ratio	Cmin Rate	Elevation	Latitude	Longitude	Slit Clay	Soil Moisture Deficit	Total Organic Carbon
103.IE1	5.27	1200	8.6	11.8	7.536	75	41.8	-73.75	49	-609.9	27
103.IE2	5.52	1200	8.6	13.2	11.422	75	41.8	-73.75	49	-609.9	40.7
103.RT1	7.92	840	18.1	12.3	1.852	50	31.46666667	-96.86666667	82	134.5	39.4
103.RT2	8.07	840	18.1	12	1.646	50	31.46666667	-96.86666667	80	134.5	37.5
103.CC1	6.06	720	5.8	14.5	4.204	110	45.4	-93.2	11	-143.3	19.1
103.LQ1	4.89	5000	19.3	24.6	5.95	1000	18.3	-65.83333333	64	-4111.8	139.5
103.LQ2	5.03	3500	21.5	13	7.816	400	18.3	-65.83333333	84	-2454.2	41.1
103.LQ3	4.67	4500	20.5	22.6	3.686	700	18.3	-65.83333333	35	-3528.2	64.1
103.KP1	6.37	835	12.5	13.6	4.324	100	39.1	-96.6	78	-80.5	61.2
103.MP2	4.38	2200	8.8	18.3	7.116	1300	49.46666667	-123.5333333	42	-1720.6	98.7
103.MP1	4.56	2200	8.8	14.7	5.636	1300	49.46666667	-123.5333333	41	-1720.6	107
103.IT2	5.42	750	3	23	16.003	550	47.18333333	-95.16666667	19	-262.1	39.1
103.IT1	5.78	750	3	22.5	16.079	550	47.16666667	-95.16666667	27	-262.1	63.1
103.SV2	8.44	210	13.5	4.6	1.403	1480	34.33333333	-106.7333333	20	443.6	2.3
103.BB2	4.6	1200	6.1	21.4	2.223	400	44.86666667	-68.1	44	-680.2	52.2
103.BB1	4.3	1200	6.1	20.5	4.3	400	44.87	-68.1	41	-680.2	12.84
103.SV1	8.31	210	13.5	5	2.036	1480	34.33333333	-106.7333333	22	443.6	3
103.HI4	4.92	1500	22.8	15.1	22.822	1500	20.08333333	-155.7	52	-392.4	108.2
103.HI1	6.45	250	22.8	11.8	0.529	700	20.08333333	-155.7	58	857.6	11.4
103.HI2	6.32	750	22.8	11	11.805	1000	20.08333333	-155.7	36	357.6	158.8
103.HI3	6.53	1000	22.8	11.2	13.285	1500	20.08333333	-155.7	25	107.6	182.4
