#SampleID	anonymized_name	collection_timestamp	contributor	country	depth	description	dna_extracted	elevation	emp_status	env_biome	env_feature	env_material	env_package	geo_loc_name	host_common_name	host_scientific_name	host_status	host_subject_id	host_taxid	lane	latitude	life_stage	longitude	name_in_metadata	notes	observations	old_title	ph	physical_specimen_location	physical_specimen_remaining	preprocessing_of_the_sponge_tissue	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	salinity_ppt	sample_type	sampling_site	scientific_name	scientific_order	study_id	taxon_id	title	water_temperature_degrees_c
10793.10533.307	10533.307	3/23/14	Thacker	USA	8	sponge tissue from ML8.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML9.1g	564368.0	MiSeq	-9.82425	Adult	150.81788	ML9.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.308	10533.308	3/23/14	Thacker	USA	8	sponge tissue from ML9.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML9.1c	564368.0	MiSeq	-9.82425	Adult	150.81788	ML9.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.309	10533.309	3/23/14	Thacker	USA	8	sponge tissue from ML9.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML10.1g	564368.0	MiSeq	-9.82425	Adult	150.81788	ML10.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.310	10533.310	3/23/14	Thacker	USA	8	sponge tissue from ML10.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML11.1c	564368.0	MiSeq	-9.82425	Adult	150.81788	ML11.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.311	10533.311	3/23/14	Thacker	USA	8	sponge tissue from ML10.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML12.1g	564368.0	MiSeq	-9.82425	Adult	150.81788	ML12.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.312	10533.312	3/23/14	Thacker	USA	8	sponge tissue from ML11.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML12.1c	564368.0	MiSeq	-9.82425	Adult	150.81788	ML12.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.313	10533.313	3/23/14	Thacker	USA	8	sponge tissue from ML11.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML13.1g	564368.0	MiSeq	-9.82425	Adult	150.81788	ML13.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	7.87	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided CO2 Seep	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.314	10533.314	3/23/14	Thacker	USA	8	sponge tissue from ML12.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML13.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML13.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.315	10533.315	3/23/14	Thacker	USA	8	sponge tissue from ML12.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML14.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML14.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.318	10533.318	3/23/14	Thacker	USA	8	sponge tissue from ML14.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML16.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML16.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.319	10533.319	3/23/14	Thacker	USA	8	sponge tissue from ML14.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML17.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML17.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.320	10533.320	3/23/14	Thacker	USA	8	sponge tissue from ML15.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML17.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML17.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True				10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.321	10533.321	3/23/14	Thacker	USA	8	sponge tissue from ML15.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML18.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML18.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.322	10533.322	3/23/14	Thacker	USA	8	sponge tissue from ML16.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML18.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML18.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.323	10533.323	3/23/14	Thacker	USA	8	sponge tissue from ML16.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML19.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML19.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.324	10533.324	3/23/14	Thacker	USA	8	sponge tissue from ML17.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML19.1c	564368.0	MiSeq	-9.82805	Adult	150.82028	ML19.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.325	10533.325	3/23/14	Thacker	USA	8	sponge tissue from ML17.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML20.1g	564368.0	MiSeq	-9.82805	Adult	150.82028	ML20.1g	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.06	Nicole Webster	False	Missing: Not provided	True	Host-associated	Animal	Animal corpus	10793	Missing: Not provided	sponge tissue	Papua New Guinea Upa-UpasiMissing:not provided Control Site	sponge metagenome	Tetractinellida	1740	1163772	SpongeMicrobiome Project	30.4
10793.10533.326	10533.326	3/23/14	Thacker	USA	8	sponge tissue from ML18.1	True	0	EMP	marine benthic biome	animal-associated habitat	organic material feature	host-associated	USA	sponges	Mycale grandis		ML20.1c	564368.0	MiSeq	-12.484783	Adult	130.78445	ML20.1c	Samples came as dried down DNA samples in 96 well plates		Microbial Community Assemblages found within Marine Sponges	8.1	Nicole Webster	False	Missing: Not provided	True				10793	35	sponge tissue	Stephen's Rock, Darwin Harbour	sponge metagenome	Poecilosclerida	1740	1163772	SpongeMicrobiome Project	31
