sample_name	altitude	anonymized_name	collection_date	collection_site	collection_timestamp	coreid	country	depth	description	dna_extracted	elevation	env_biome	env_feature	extracted_dna_avail_now	has_extracted_data	has_physical_specimen	health_status	host_common_name	host_order	host_subject_id	host_taxid	hypothesis	latitude	life_stage	lineage	longitude	notes	pco2_micro_atm	ph	physical_location	physical_specimen_location	physical_specimen_remaining	postitive_pcr	public	qiita_empo_1	qiita_empo_2	qiita_empo_3	qiita_study_id	quantity_nanograms	salinity	sample_type	scientific_name	temp	title
1740.1740.Webster.2.D3.132.EMP.Thomas.sponges.16S.L008	0	Webster.2.D3.132		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	947	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	18.33		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D4.133.EMP.Thomas.sponges.16S.L008	0	Webster.2.D4.133		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	948	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D5.134.EMP.Thomas.sponges.16S.L008	0	Webster.2.D5.134		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	982	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	85.75		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D6.135.EMP.Thomas.sponges.16S.L008	0	Webster.2.D6.135		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	983	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	84.21		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D7.136.EMP.Thomas.sponges.16S.L008	0	Webster.2.D7.136		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	984	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	103.81		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D8.137.EMP.Thomas.sponges.16S.L008	0	Webster.2.D8.137		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	988	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	42.45		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.D9.138.EMP.Thomas.sponges.16S.L008	0	Webster.2.D9.138		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	989	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	126.54		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E1.142.EMP.Thomas.sponges.16S.L008	0	Webster.2.E1.142		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	1002	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	n	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E10.151.EMP.Thomas.sponges.16S.L008	0	Webster.2.E10.151		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	987	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	167.64		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E11.152.EMP.Thomas.sponges.16S.L008	0	Webster.2.E11.152		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	997	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	17.43		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E12.153.EMP.Thomas.sponges.16S.L008	0	Webster.2.E12.153		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	998	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E2.143.EMP.Thomas.sponges.16S.L008	0	Webster.2.E2.143		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	994	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	238.6		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E3.144.EMP.Thomas.sponges.16S.L008	0	Webster.2.E3.144		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	995	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	149.96		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E4.145.EMP.Thomas.sponges.16S.L008	0	Webster.2.E4.145		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	996	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	n	True				1740	150.87		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E5.146.EMP.Thomas.sponges.16S.L008	0	Webster.2.E5.146		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	979	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	5.0		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E6.147.EMP.Thomas.sponges.16S.L008	0	Webster.2.E6.147		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	980	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	154.14		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E7.148.EMP.Thomas.sponges.16S.L008	0	Webster.2.E7.148		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 0% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	981	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	55.67		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E8.149.EMP.Thomas.sponges.16S.L008	0	Webster.2.E8.149		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	985	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	43.15		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.E9.150.EMP.Thomas.sponges.16S.L008	0	Webster.2.E9.150		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 1.6% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	986	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	20.16		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F1.154.EMP.Thomas.sponges.16S.L008	0	Webster.2.F1.154		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 25% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	999	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	17.48		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F10.163.EMP.Thomas.sponges.16S.L008	0	Webster.2.F10.163		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	966	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	230.14		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F11.164.EMP.Thomas.sponges.16S.L008	0	Webster.2.F11.164		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	970	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	166.78		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F12.165.EMP.Thomas.sponges.16S.L008	0	Webster.2.F12.165		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	971	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	238.62		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F2.155.EMP.Thomas.sponges.16S.L008	0	Webster.2.F2.155		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	991	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	47.1		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F3.156.EMP.Thomas.sponges.16S.L008	0	Webster.2.F3.156		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	992	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	206.6		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F4.157.EMP.Thomas.sponges.16S.L008	0	Webster.2.F4.157		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil 100% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	993	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	174.48		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F5.158.EMP.Thomas.sponges.16S.L008	0	Webster.2.F5.158		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	958	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	256.15		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F6.159.EMP.Thomas.sponges.16S.L008	0	Webster.2.F6.159		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	959	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	134.47		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F7.160.EMP.Thomas.sponges.16S.L008	0	Webster.2.F7.160		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 0% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	960	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	284.41		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F8.161.EMP.Thomas.sponges.16S.L008	0	Webster.2.F8.161		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	964	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	227.91		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.F9.162.EMP.Thomas.sponges.16S.L008	0	Webster.2.F9.162		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 1.6% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	965	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	228.35		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.G1.166.EMP.Thomas.sponges.16S.L008	0	Webster.2.G1.166		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 25% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	972	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	246.77		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.G10.175.EMP.Thomas.sponges.16S.L008	0	Webster.2.G10.175		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 1.6% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	963	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	120.75		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.G11.176.EMP.Thomas.sponges.16S.L008	0	Webster.2.G11.176		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 25% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	967	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	68.35		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.G12.177.EMP.Thomas.sponges.16S.L008	0	Webster.2.G12.177		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 25% 24h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	968	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	104.03		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
1740.1740.Webster.2.G2.167.EMP.Thomas.sponges.16S.L008	0	Webster.2.G2.167		R. odorabile Larvae Hydrocarbon Expt	2012-01-14 00:00:00		GAZ:Australia	1.0	Rhopaloeides oil + disp 50% 2h	True	0	ENVO:marine biome	ENVO:reef	True	True	True	stressed	sponges	Dictyoceratida	976	476028.0	Environment	-18.84478	Larvae		147.64401999999998	Samples came as dried down DNA samples in 96 well plates				Upright -80 Rack 4BA3	True	y	True				1740	151.97		XXQIITAXX		28	Microbial Community Assemblages found within Marine Sponges
